Employee ID,Age,Department,Job Role,Distance From Home,Monthly Income,Years At Company,Attrition
EMP-99CCA574,42,Sales,Sales Executive,13,3834,4,No
EMP-7BFE82FA,35,Research & Development,Research Scientist,1,3719,10,No
EMP-36C9CB91,53,Sales,Regional Manager,1,10520,17,No
EMP-139E5051,33,Customer Support,Support Specialist,2,4651,1,No
EMP-C4A7949A,40,Sales,Sales Executive,5,2000,1,Yes
EMP-6341C6CC,27,Research & Development,Laboratory Technician,3,4377,2,No
EMP-39445B35,52,Customer Support,Customer Success Manager,2,9329,3,No
EMP-736B97FE,32,Customer Support,Customer Success Manager,9,9733,0,No
EMP-DEA33D60,31,Sales,Sales Executive,11,3649,2,No
EMP-F1C3C3E1,37,Human Resources,HR Business Partner,1,4730,12,No
EMP-7B0EEDC1,46,Human Resources,HR Generalist,3,2534,3,Yes
EMP-21570E0F,24,Sales,Sales Representative,34,4236,6,No
EMP-76EEB07C,45,Customer Support,Customer Success Manager,1,9805,1,No
EMP-899382CA,36,Engineering,Engineering Manager,4,9238,1,Yes
EMP-4D7FDD1F,33,Engineering,Software Engineer,3,5268,3,No
EMP-95C15BB9,41,Customer Support,Customer Success Manager,1,9137,21,No
EMP-1DB83D35,31,Sales,Sales Executive,1,4734,8,No
EMP-464D6152,48,Human Resources,HR Generalist,14,5117,0,No
EMP-875A87DD,29,Sales,Sales Representative,19,3628,4,No
EMP-A1AF7885,33,Human Resources,HR Generalist,3,3777,1,No
EMP-05ECABCD,46,Research & Development,Manufacturing Director,21,11227,3,No
EMP-8BF9ED16,41,Sales,Regional Manager,14,8825,4,No
EMP-14762B77,37,Customer Support,Support Director,7,11477,2,No
EMP-A76E4E55,38,Engineering,Senior Software Engineer,3,5641,3,No
EMP-050B5087,35,Customer Support,Support Specialist,5,4428,7,No
EMP-5E5DF8E7,29,Sales,Sales Executive,26,3397,8,No
EMP-EAF84233,47,Human Resources,HR Business Partner,16,6394,1,No
EMP-DF7BE3C4,38,Research & Development,Manufacturing Director,16,10762,11,No
EMP-4E64B842,30,Engineering,Senior Software Engineer,2,5606,2,No
EMP-779926A0,40,Engineering,Software Engineer,1,4313,3,No
EMP-6CFBD2E7,23,Research & Development,Manufacturing Director,1,9095,2,No
EMP-80EF0130,36,Engineering,Engineering Manager,7,10084,6,No
EMP-15CF93E6,40,Research & Development,Research Scientist,32,3910,1,No
EMP-AF604D6F,18,Sales,Sales Executive,3,3968,0,No
EMP-92369F4D,38,Research & Development,Research Scientist,1,6955,1,No
EMP-C7CA502C,36,Engineering,Engineering Manager,1,9961,3,Yes
EMP-121CB8F4,49,Engineering,Engineering Manager,2,10502,6,No
EMP-DEC1A776,52,Customer Support,Customer Success Manager,10,7917,3,No
EMP-409C0DD2,28,Sales,Regional Manager,1,8920,4,No
EMP-B1EC72EA,22,Customer Support,Customer Success Manager,10,9682,0,No
EMP-E8CFF94F,28,Human Resources,HR Generalist,27,5859,0,No
EMP-51AE465E,30,Research & Development,Research Director,25,9213,10,Yes
EMP-1DB8890A,46,Human Resources,HR Director,16,8122,4,No
EMP-2B3D2515,21,Customer Support,Support Specialist,1,4221,3,No
EMP-DA709565,40,Human Resources,HR Director,4,10538,2,No
EMP-FB847D46,43,Research & Development,Research Scientist,21,4356,7,No
EMP-FAA9ECCE,31,Research & Development,Laboratory Technician,1,4278,11,No
EMP-1B455783,40,Engineering,Software Engineer,1,3142,0,Yes
EMP-14FC2F21,56,Human Resources,HR Business Partner,10,6568,1,No
EMP-1C47B220,28,Research & Development,Laboratory Technician,3,4944,6,Yes
EMP-DE04A1C3,47,Engineering,Software Engineer,10,4495,4,No
EMP-FB275C98,35,Customer Support,Support Specialist,3,3095,1,Yes
EMP-63269F0C,37,Engineering,Engineering Manager,22,10009,4,No
EMP-788992CE,38,Customer Support,Support Director,8,11344,3,No
EMP-595C6030,44,Research & Development,Research Scientist,3,2971,0,No
EMP-EF689322,27,Engineering,Engineering Manager,28,10178,9,No
EMP-58711A7F,35,Engineering,Engineering Manager,1,10456,13,No
EMP-94F8A25E,42,Research & Development,Research Scientist,33,3912,9,Yes
EMP-4F15A5AF,29,Sales,Regional Manager,19,7782,1,No
EMP-8FE892C5,40,Customer Support,Support Specialist,27,2505,5,Yes
EMP-12B8D3C6,29,Sales,Sales Executive,9,4184,11,Yes
EMP-837882B6,38,Sales,Sales Representative,20,2628,6,Yes
EMP-7E3FB315,48,Research & Development,Manufacturing Director,4,10864,1,No
EMP-F4B6D9C5,43,Research & Development,Research Scientist,20,4616,12,No
EMP-4E907740,43,Customer Support,Support Director,16,14223,5,No
EMP-36FEB91A,47,Engineering,Senior Software Engineer,22,6781,2,Yes
EMP-296E80C0,30,Sales,Regional Manager,8,9315,0,No
EMP-B70CE5F2,61,Engineering,Senior Software Engineer,3,3759,4,No
EMP-8DC3F8C4,33,Sales,Regional Manager,1,10906,3,No
EMP-A99EC09E,30,Sales,Sales Executive,9,4815,0,No
EMP-09C59932,38,Human Resources,HR Generalist,7,3218,5,No
EMP-67879882,18,Research & Development,Research Director,15,9823,0,Yes
EMP-5F5ACD96,30,Research & Development,Manufacturing Director,1,9462,12,No
EMP-ADE31201,43,Sales,Sales Representative,5,5038,0,No
EMP-191EA5EB,33,Customer Support,Support Specialist,7,3216,6,Yes
EMP-CE3A7015,25,Customer Support,Support Specialist,30,5101,6,No
EMP-E8D463C7,59,Research & Development,Research Scientist,5,5238,1,No
EMP-15D52163,50,Engineering,Software Engineer,1,3150,0,No
